FEDID,FED_CHANNEL,OLD_COARSE,OLD_FINE,OLD_DELAY,OFFSET,NEW_COARSE,NEW_FINE,NEW_DELAY,DIFF_FED
50,0,12,17,283,7,12,10,290,7
50,1,12,17,283,7,12,10,290,7
50,2,12,17,283,7,12,10,290,7
50,3,12,22,278,-3,11,0,275,-3
50,4,12,22,278,-3,11,0,275,-3
50,5,12,22,278,-3,11,0,275,-3
50,6,12,16,284,2,12,14,286,2
50,7,12,16,284,2,12,14,286,2
50,8,12,16,284,2,12,14,286,2
50,9,12,20,280,5,12,15,285,5
50,10,12,20,280,5,12,15,285,5
50,11,12,20,280,5,12,15,285,5
50,12,12,16,284,-8,12,24,276,-8
50,13,12,16,284,-8,12,24,276,-8
50,14,12,16,284,-8,12,24,276,-8
50,15,12,17,283,4,12,13,287,4
50,16,12,17,283,4,12,13,287,4
50,17,12,17,283,4,12,13,287,4
50,18,12,23,277,2,12,21,279,2
50,19,12,23,277,2,12,21,279,2
50,20,12,23,277,2,12,21,279,2
50,21,12,22,278,8,12,14,286,8
50,22,12,22,278,8,12,14,286,8
50,23,12,22,278,8,12,14,286,8
50,24,13,12,313,0,13,12,313,0
50,25,12,8,292,0,12,8,292,0
50,26,12,8,292,0,12,8,292,0
50,27,12,8,292,0,12,8,292,0
50,28,12,8,292,0,12,8,292,0
50,29,12,8,292,0,12,8,292,0
50,30,12,17,283,2,12,15,285,2
50,31,12,17,283,2,12,15,285,2
50,32,12,17,283,2,12,15,285,2
50,33,12,16,284,-1,12,17,283,-1
50,34,12,16,284,-1,12,17,283,-1
50,35,12,16,284,-1,12,17,283,-1
50,36,12,8,292,0,12,8,292,0
50,37,12,8,292,0,12,8,292,0
50,38,12,8,292,0,12,8,292,0
50,39,12,8,292,0,12,8,292,0
50,40,12,8,292,0,12,8,292,0
50,41,12,8,292,0,12,8,292,0
50,42,12,8,292,0,12,8,292,0
50,43,12,8,292,0,12,8,292,0
50,44,12,8,292,0,12,8,292,0
50,45,12,8,292,0,12,8,292,0
50,46,12,8,292,0,12,8,292,0
50,47,12,8,292,0,12,8,292,0
50,48,12,17,283,6,12,11,289,6
50,49,12,17,283,6,12,11,289,6
50,50,12,17,283,6,12,11,289,6
50,51,12,18,282,0,12,18,282,0
50,52,12,18,282,0,12,18,282,0
50,53,12,19,281,0,12,19,281,0
