DCUID,PLL_KEY,OLD_COARSE,OLD_FINE,OLD_DELAY,OFFSET,TARGET_DELAY,NEW_COARSE,NEW_FINE,NEW_DELAY,DIFF_PLL
4127191,1115102276,7,18,193.75,1,194.75,7,19,194.792,1.04167
16380859,611786564,7,18,193.75,6,199.75,8,0,200,6.25
3601899,-1401479868,7,19,194.792,3,197.792,7,22,197.917,3.125
11793707,1760238660,5,21,146.875,-9,137.875,5,12,137.5,-9.375
3798459,1928798020,7,19,194.792,8,202.792,8,3,203.125,8.33333
14285855,423567172,6,20,170.833,-4,166.833,6,16,166.667,-4.16666
12514567,1014569796,4,23,123.958,-6,117.958,4,17,117.708,-6.25
7598539,595401284,7,10,185.417,1,186.417,7,11,186.458,1.04166
14153431,1374100548,4,17,117.708,-2,115.708,4,15,115.625,-2.08334
7796203,-1686692540,7,17,192.708,0,192.708,7,17,192.708,0
3798775,-1849745852,6,0,150,8,158,6,8,158.333,8.33333
11795315,1920408388,7,16,191.667,0,191.667,7,16,191.667,0
13761083,702225476,3,15,90.625,-7,83.625,3,8,83.3333,-7.29166
3667699,-1589698748,7,1,176.042,-5,171.042,6,20,170.833,-5.20834
8257259,830282308,6,10,160.417,-4,156.417,6,6,156.25,-4.16667
5962107,-1669522108,7,12,187.5,0,187.5,7,12,187.5,0
15859307,863705924,5,16,141.667,-2,139.667,5,14,139.583,-2.08334
16645491,-1854005948,5,23,148.958,-5,143.958,5,18,143.75,-5.20833
7993607,1374624580,6,16,166.667,-8,158.667,6,8,158.333,-8.33334
5371079,1088887364,4,6,106.25,3,109.25,4,9,109.375,3.125
14545911,-1847649212,5,17,142.708,5,147.708,5,22,147.917,5.20834
7795883,-1715528892,7,1,176.042,5,181.042,7,6,181.25,5.20833
16710075,578690116,7,2,177.083,-2,175.083,7,0,175,-2.08333
7598807,1801395780,7,22,197.917,3,200.917,8,1,201.042,3.125
13759403,-1451418556,7,9,184.375,3,187.375,7,12,187.5,3.125
7600283,-1451811004,7,18,193.75,3,196.75,7,21,196.875,3.125
3535703,720837956,6,17,167.708,4,171.708,6,21,171.875,4.16667
11991595,2053970756,4,11,111.458,-1,110.458,4,10,110.417,-1.04167
12516979,-1728177340,7,8,183.333,-3,180.333,7,5,180.208,-3.125
5502719,1778261316,8,3,203.125,-3,200.125,8,0,200,-3.125
5700827,-1690362556,6,23,173.958,9,182.958,7,8,183.333,9.375
12187035,2042305604,5,9,134.375,-3,131.375,5,6,131.25,-3.125
5370743,1516183364,6,15,165.625,9,174.625,7,0,175,9.375
12513815,977214276,5,17,142.708,8,150.708,6,1,151.042,8.33334
4126935,-1443029436,7,11,186.458,-6,180.458,7,5,180.208,-6.25
13760891,-1598087868,6,23,173.958,0,173.958,6,23,173.958,0
14417139,1541872452,4,18,118.75,-2,116.75,4,16,116.667,-2.08334
3406379,-1866785980,4,12,112.5,-2,110.5,4,10,110.417,-2.08334
3799639,1417353796,6,7,157.292,4,161.292,6,11,161.458,4.16666
8059415,962533956,5,13,138.542,5,143.542,5,18,143.75,5.20833
3800791,469638468,7,3,178.125,3,181.125,7,6,181.25,3.125
12450923,461250116,7,5,180.208,-7,173.208,6,22,172.917,-7.29166
12185743,436083268,7,6,181.25,-1,180.25,7,5,180.208,-1.04167
4125727,880614724,6,17,167.708,10,177.708,7,3,178.125,10.4167
3276503,847060804,6,15,165.625,8,173.625,6,23,173.958,8.33333
15857687,-2101404604,6,17,167.708,4,171.708,6,21,171.875,4.16667
12054799,2053577540,4,17,117.708,-10,107.708,4,7,107.292,-10.4167
5633611,998120004,6,2,152.083,2,154.083,6,4,154.167,2.08334
3799023,1912412996,7,8,183.333,-3,180.333,7,5,180.208,-3.125
5897843,-1728635580,7,20,195.833,6,201.833,8,2,202.083,6.25
3667583,845093956,5,17,142.708,-2,140.708,5,15,140.625,-2.08333
11924543,-1543692476,7,13,188.542,-8,180.542,7,5,180.208,-8.33334
5961451,-1586028988,7,20,195.833,-6,189.833,7,14,189.583,-6.25
16119131,687742532,6,6,156.25,-2,154.25,6,4,154.167,-2.08333
5504247,1946033476,7,2,177.083,-7,170.083,6,19,169.792,-7.29166
14022827,2088180548,7,20,195.833,-10,185.833,7,10,185.417,-10.4167
12252531,-1854465212,6,14,164.583,9,173.583,6,23,173.958,9.375
3600955,855514948,6,6,156.25,-7,149.25,5,23,148.958,-7.29167
14286443,608115524,6,16,166.667,-9,157.667,6,7,157.292,-9.375
7469467,591338052,7,0,175,3,178,7,3,178.125,3.125
16643287,821500484,6,17,167.708,1,168.708,6,18,168.75,1.04167
3537151,-1841619900,4,11,111.458,3,114.458,4,14,114.583,3.125
12319987,-1561912764,4,10,110.417,4,114.417,4,14,114.583,4.16667
11662171,1891572804,7,0,175,5,180,7,5,180.208,5.20833
7599419,-1451353020,7,0,175,0,175,7,0,175,0
7797115,1819746116,8,18,218.75,7,225.75,9,1,226.042,7.29167
13890839,1140660804,7,18,193.75,9,202.75,8,3,203.125,9.375
6225579,553458244,7,13,188.542,-7,181.542,7,6,181.25,-7.29167
3538267,1954356292,7,15,190.625,0,190.625,7,15,190.625,0
11793863,1933516100,6,22,172.917,6,178.917,7,4,179.167,6.25
16642439,-1841358012,6,2,152.083,-6,146.083,5,20,145.833,-6.25
7467739,2038241860,7,8,183.333,-2,181.333,7,6,181.25,-2.08333
3865167,1786650436,8,4,204.167,4,208.167,8,8,208.333,4.16666
5371143,591076420,5,13,138.542,-7,131.542,5,6,131.25,-7.29167
